Province,cases,ma,
2,Hà N?i,1597685,1
3,TP. H? Chí Minh,610867,79
4,Ngh? An,484250,40
5,B?c Giang,387545,24
6,V?nh Phúc,367572,26
7,H?i D??ng,362992,30
8,Qu?ng Ninh,346114,22
9,B?c Ninh,343671,27
10,Bình D??ng,320875,74
11,Phú Th?,320008,25
12,Nam ??nh,295364,36
13,Thái Bình,292420,34
14,H?ng Yên,239839,33
15,Hoà Bình,235873,17
16,Thái Nguyên,185031,19
17,Lào Cai,182704,10
18,??k L?k,170585,66
19,Thanh Hóa,167387,38
20,L?ng S?n,156674,20
21,S?n La,150297,14
22,Cà Mau,145881,96
23,Tuyên Quang,142294,8
24,Tây Ninh,137653,72
25,Bình ??nh,137028,52
26,Qu?ng Bình,123537,44
27,Hà Giang,121740,2
28,H?i Phòng,119740,31
29,Khánh Hòa,117761,56
30,Bình Ph??c,117262,70
31,Bà R?a - V?ng Tàu,106840,77
32,??ng Nai,106629,75
33,V?nh Long,101050,86
34,Ninh Bình,99226,37
35,?à N?ng,98225,48
36,B?n Tre,96597,83
37,Cao B?ng,95178,4
38,Lâm ??ng,91826,68
39,?i?n Biên,88130,11
40,Hà Nam,84365,35
41,Qu?ng Tr?,81548,45
42,C?n Th?,76393,92
43,Trà Vinh,74647,84
44,B?c K?n,73934,6
45,Lai Châu,73731,12
46,??k Nông,72942,67
47,Gia Lai,69457,64
48,Bình Thu?n,52466,60
49,??ng Tháp,50585,87
50,Hà T?nh,50091,42
51,Qu?ng Nam,49217,49
52,Long An,48979,80
53,Qu?ng Ngãi,47483,51
54,B?c Liêu,46432,95
55,Th?a Thiên Hu?,46304,46
56,Phú Yên,42662,54
57,An Giang,41236,89
58,Kiên Giang,39789,91
59,Ti?n Giang,36212,82
60,Sóc Tr?ng,34349,94
61,Kon Tum,26139,62
62,H?u Giang,17076,93
63,Ninh Thu?n,8639,58
64,Yên Bái,147369,15
